postcode,lat,lng
2582,-34.7583,148.9655
2583,-34.1965,149.2542
2584,-34.711,148.5552
2585,-34.5723,148.4985
2586,-34.3786,148.7973
2587,-34.5058,148.361
2588,-34.5995,148.2556
2590,-34.7145,147.8969
2594,-34.2311,148.1073
2600,-35.3029,149.2011
2601,-35.2759,149.1138
2602,-35.2481,149.1481
2603,-35.3304,149.1257
2604,-35.3364,149.1476
2605,-35.3358,149.0935
2606,-35.3517,149.0926
2607,-35.37,149.0948
2608,-35.2829,149.1294
2609,-35.3045,149.194
2610,-35.2809,149.13
2611,-35.5732,148.709
2612,-35.2706,149.1332
2614,-35.2573,149.0498
2615,-35.2154,149.0293
2616,-35.2484,149.0703
2617,-35.2313,149.0867
2618,-35.1356,149.0433
2619,-35.3782,149.1945
2620,-35.3417,149.2105
2621,-35.4698,149.484
2622,-35.6284,149.7521
2623,-35.5528,149.4451
2624,-36.1808,148.4413
2625,-36.5066,148.301
2626,-35.9412,149.1686
2627,-36.4091,148.2323
2628,-36.3981,148.7204
2629,-35.9973,148.7697
2630,-36.1773,149.1292
2631,-36.5294,149.3067
2632,-37.0201,149.2205
2633,-36.8652,148.7016
2640,-36.0162,147.0265
2641,-36.0387,146.9304
2642,-35.3944,146.4617
2643,-35.9366,146.6175
2644,-35.7732,147.3913
2645,-35.3338,146.3324
2646,-35.7576,146.3245
2647,-35.9055,145.9761
2648,-33.2962,141.8018
2649,-35.6083,148.0912
2650,-35.0746,147.3762
2651,-35.1623,147.4635
2652,-35.4051,147.6496
2653,-35.7762,148.0413
2655,-35.2251,147.0474
2656,-35.356,146.7677
2658,-35.5357,146.9778
2659,-35.6101,146.7675
2660,-35.6999,147.0783
2661,-35.1577,147.2776
2663,-34.9335,147.7168
2665,-34.3132,146.8415
2666,-34.4878,147.5838
2668,-34.1215,147.4054
2669,-33.8149,146.6675
2671,-33.8393,147.3082
2672,-33.2436,146.4
2675,-33.4592,145.4792
2678,-35.0593,147.352
2680,-34.3214,145.9146
2681,-34.1167,146.1467
2700,-34.9021,146.3036
2701,-34.7068,147.2465
2702,-34.8667,147.0142
2703,-34.6079,146.3708
2705,-34.4899,146.3735
2706,-34.5695,145.9375
2707,-34.7689,145.8079
2708,-36.0737,146.914
2710,-35.3576,144.9844
2711,-34.2577,144.6952
2712,-35.7542,145.8728
2713,-35.5863,145.5207
2714,-35.7743,145.2869
2715,-33.8129,142.6742
2716,-35.2459,145.6271
2717,-34.088,142.0944
2720,-35.3799,148.3836
2721,-34.0495,147.7121
2722,-35.0535,148.1029
2725,-34.4482,147.8158
2726,-34.7844,148.3267
2727,-34.9835,148.3904
2729,-35.2278,147.9238
2730,-35.51,148.034
2731,-35.8934,144.6418
2732,-35.5426,144.2302
2733,-35.0137,144.2061
2734,-34.7709,143.387
2735,-35.1291,143.4267
2736,-34.9652,143.3758
2737,-34.5741,142.8738
2738,-34.1647,142.2251
2739,-34.1538,142.1057
2745,-33.8713,150.6715
2747,-33.7741,150.7377
2748,-33.811,150.7232
2749,-33.7022,150.6868
2750,-33.7555,150.6786
2751,-33.7321,151.2804
2752,-33.9422,150.5801
2753,-33.604,150.6461
2754,-33.5579,150.728
2756,-33.4663,150.8874
2757,-33.5548,150.6921
2758,-33.4836,150.6018
